"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"OPP","OOO","OOO","PPO","Pass-along",2254,"2021-05-16 1","1"
"OPP","PBB","PBB","OOP","Pass-along",468,"2021-05-16 1","1"
"BBB","GPG","GPG","BOB","Pass-along",271,"2021-05-16 1","1"
"POP","GOO","GOO","POO","Pass-along",535,"2021-05-16 1","1"
"POP","GPG","GPG","PPO","Pass-along",352,"2021-05-16 1","1"
"GOO","POO","POO","BOB","Pass-along",38,"2021-05-16 1","1"
"GGO","GOP","GOP","BOB","Pass-along",478,"2021-05-16 1","1"
"GPG","PPP","PPP","BOB","Pass-along",256,"2021-05-16 1","1"
"GPG","GOP","GOP","OBB","Pass-along",3230,"2021-05-16 1","1"
"POO","OPP","OPP","PBO","Pass-along",2020,"2021-05-16 1","1"
"POO","GGG","GGG","PGG","Pass-along",654,"2021-05-16 1","1"
"POO","OOO","OOO","PPO","Pass-along",10,"2021-05-16 1","1"
"PBB","GPG","GPG","OBB","Pass-along",95,"2021-05-16 1","1"
"GOP","OBB","OBB","BOB","Pass-along",916,"2021-05-16 1","1"
"POO","PPP","PPP","GGG","Pass-along",4954,"2021-05-16 2","1"
"BBB","GOO","GOO","OBB","Pass-along",1232,"2021-05-16 2","1"
